provide a forum for@R@	provide the opportunity for@R@
be certified by	certify@R@
include link to@R@	contain link to@R@
be likely to be	look to be
pop up on@R@	come out on@R@
be confirmed by	be supported by
raise money for@R@	raise for@R@
remember for@R@	enjoy for@R@
feel with	be sympathetic to
sign up with@R@	be signed to@R@
be to look at	be to put
descend from	hail from
sound@R@	be gone by
hide	be hidden by@R@
tell by@R@	see by@R@
see something in	come across in
require to@R@	be able to@R@
be offered as@R@	be intended to be@R@
send a copy of@R@	need a copy of@R@
be the sign of@R@	signal@R@
aim at	force
be difficult for@R@	be hard for@R@
be a big part of	be a important part of
push to@R@	come to@R@
be a consequence of@R@	result in@R@
communicate with	interfere with
have a question about@R@	have about@R@
know with@R@	have with@R@
unite	unify
present for@R@	be accepted for@R@
be the culmination of@R@	close in@R@
try some of	use of
soften@R@	weaken@R@
be used on	be used to
be mailed to@R@	send to@R@
leap to	ascend to
find any of	see any of
enrol at	be a professor at
ridicule	mock
evolve in@R@	come in@R@
make good use of@R@	continue to use@R@
be a chance for	be a great way for
need to find@R@	need to see@R@
mean@R@	mean to@R@
go for	come in for
speak for	stand up for
be descended from@R@	arrive from@R@
live with	act with
take to be@R@	grow up to be@R@
tend to have@R@	begin to have@R@
proceed to	cling to
run up to@R@	go up to@R@
reduce the risk of	help keep
be allowed on@R@	be permitted in@R@
be kept at@R@	be kept@R@
generate from@R@	from@R@
watch a lot of	love watch
present in	introduce in
take an interest in	be interested in
be prepared by	fry@R@
be a source of@R@	be a great source of@R@
see many of@R@	have two of@R@
be announced on@R@	declare
have a list of	be a list of
be customized to	be for
decline in	drop in
get a lot of@R@	have plenty of@R@
juggle@R@	correct@R@
spread over@R@	be spread over@R@
term@R@	distinguish@R@
continue to have	have have
be covered under	be placed under
happen	occur
aspire to@R@	manage to@R@
be natural for@R@	be rare for@R@
offer	be offered by@R@
remember have	miss have
be written with	be created with
appeal@R@	appeal for@R@
play a major role in@R@	play an important part in@R@
be encouraged to	be for
drop to	descend to
find a number of	find lot of
hop on@R@	come out on@R@
be more important to@R@	be essential to@R@
minimize	diminish
return	deliver
slash@R@	shorten@R@
keep	be kept by@R@
be natural for	be wrong for
be available at@R@	from@R@
be joined by@R@	merge
dont want	dont take
go until@R@	continue until@R@
plan to do@R@	decide to do@R@
fulfil@R@	adjust to@R@
be addressed in@R@	be studied in@R@
see something in	hear in
be dead for	be married for
need to watch	want to check
be within walk distance of@R@	be located@R@
note in@R@	in@R@
dress up as@R@	pose as@R@
shock	be shocked at@R@
relax in	soak up
be the home of	be the seat of
yell to	call out to
try to make@R@	try make@R@
be most appropriate for	be appropriate for
waive@R@	resign@R@
be easy to get	be good to have
enlist in@R@	file in@R@
create in@R@	cause in@R@
be contained within@R@	be located within@R@
suggest in@R@	tell in@R@
stay in@R@	continue in@R@
rely more on	rely on
want to add@R@	need to include@R@
drift to@R@	roll to@R@
migrate to@R@	relocate to@R@
catch up with	hook up with
show at	say at
take up	exhaust
order from@R@	buy from@R@
stay to@R@	to@R@
translate	be read by@R@
exaggerate@R@	increase@R@
shop in	at
enhance@R@	raise@R@
give credit to@R@	to@R@
result	result from
have time to@R@	be about to@R@
grow from@R@	rise from@R@
rush to	run to
commence	start
go for	arrive for
start out@R@	think of@R@
be grouped into@R@	be organized in@R@
increase to	be to
elude@R@	avoid@R@
turn out in@R@	work out in@R@
form part of	become a member of
report to	report on
help guide@R@	direct@R@
see any of@R@	do one of@R@
remark to@R@	to@R@
bring@R@	be brought by
morph into	be converted to
be the best part of	be the rest of
live by	by
go something like	feel like
get up in	climb up
belong on	exist on
burn in@R@	wipe out@R@
decline in	throw in
be the year of@R@	be the age of@R@
have a negative effect on	have a positive effect on
hold the key to@R@	be the key to@R@
manage for	for
found@R@	be built by
decide to leave@R@	lose@R@
see this on	see on
note	take note of
register@R@	register for@R@
stay to@R@	go on to@R@
roll out@R@	roll up@R@
carry in	have no bearing on
enlist in	be enrolled in
be reduced by	help reduce@R@
be a set of@R@	be a series of@R@
last about	take around
hit@R@	score@R@
be legal in	be banned in
be featured on@R@	be featured in@R@
please do	please have
pop up	put in
look@R@	scour@R@
be held liable for@R@	assume responsibility for@R@
need to play	love to play
be encouraged to use@R@	start use@R@
want to create@R@	need to build@R@
wont	don't
be easy to find@R@	be nice to have@R@
propose to@R@	provide information to@R@
contemplate	wonder at
be packed full of@R@	cover a lot of@R@
be dominated by	overlook@R@
be all part of@R@	be all of@R@
slow down	throw up
dress@R@	want to wear@R@
give up on	give up
hope to do	continue to do
risk	be supported by@R@
renew@R@	refresh@R@
choose to	have to
make a commitment to@R@	devote to@R@
overtake@R@	arouse@R@
know one of@R@	want one of@R@
be converted to@R@	be transformed into@R@
be needed	be needed on
scrape	scrub
be committed to@R@	be to have@R@
be classed as@R@	be considered as@R@
tend to make@R@	get to make@R@
be divided into@R@	be divided in@R@
keep look for	research
induce	be brought by@R@
be necessary to	be hard to
commend	recommend
classify@R@	break up@R@
have ton of@R@	have a ton of@R@
examine@R@	compare@R@
be common among@R@	be common in@R@
begin@R@	be started by
be a source of@R@	be rich in@R@
be provided as	be developed as
seem to get	begin to get
publish on@R@	write on@R@
swim to	leap to
get access to@R@	log onto@R@
offer a variety of@R@	offer a selection of@R@
define@R@	be defined by
be relative to	be a function of
dedicate to	devote to
be a member of@R@	become a member of@R@
understand of	of
be ready to start	want to start
grow for@R@	have for@R@
lay	lay off
learn for@R@	have for@R@
get off of@R@	forget@R@
want to destroy@R@	need to get rid of@R@
shop@R@	at@R@
tell by	by
engage in	go on in
be cheaper than@R@	be stronger than@R@
need to provide@R@	be required to submit@R@
go down@R@	be down@R@
be increased to@R@	be expanded to@R@
donate to@R@	pass to@R@
be advisable for	be wrong for
come up in	go up in
argue with@R@	debate@R@
run as	as
blame on@R@	criticise@R@
want access to@R@	log in@R@
seem kind of@R@	be a blend of@R@
decide to start	start out
catch with	hook up with
shed	spill
deliver on@R@	on@R@
tend to get@R@	continue to get@R@
be required at	be needed at
have the choice of	opt out of
say this to	mention to
be afflicted with@R@	be diagnosed with@R@
be great to have	be good to have
insist on	swear
avail	reuse
afford to	be able to
be offensive to	be injured by@R@
like to see	like to hear
be cut to	cut to
misread@R@	portray@R@
be dependant on@R@	become dependent on@R@
scream for	weep for
lose sight of@R@	start to see@R@
provide link to	find a link to
be clear from	be obvious in
improve with@R@	grow with@R@
take place in	come up in
appear as@R@	be cast as@R@
compile	store
assume be@R@	give be@R@
advance to@R@	progress to@R@
be a cause of@R@	cause@R@
suggest in@R@	explain in@R@
want to see@R@	want to visit@R@
be the one of	become one of
practice on	on
train@R@	be driven by
risk	run the risk of
want to hold@R@	be protective of@R@
swim to	come up to
think for	cook for
get over@R@	be overtaken by
do more for@R@	pay more attention to@R@
be free from@R@	be freed from@R@
reduce the risk of	help maintain
guide	help guide
start about	want about
lose some of	forget
have ton of@R@	have a lot of@R@
initialize	isolate
remain to	run to
support for@R@	continue to support@R@
hope to@R@	have to@R@
be supportive of	be a strong supporter of
catch in	catch up in
carry@R@	stock@R@
consider do	decide to do
be cleared of	be clear of
respond with@R@	react with@R@
hang over	occur over
find many of	know some of
be offered as@R@	be designed to be@R@
sail for@R@	sail from@R@
accept in@R@	agree in@R@
start to do	get to do
respond to	reply to
have a profound impact on	have a huge impact on
tackle	be undertaken by@R@
walk toward	walk towards
come near	be to
wait@R@	await@R@
need more of@R@	want more of@R@
be regarded by	watch@R@
choose to make@R@	get to make@R@
come out@R@	on@R@
want from	need from
organise@R@	be organised by
enter at	register at
realize in@R@	understand in@R@
be nothing more than@R@	feel like@R@
be more important to@R@	be most important to@R@
think on	plan on
ascend to@R@	leap to@R@
respond@R@	state@R@
distinguish between@R@	differentiate between@R@
get ton of	have a wealth of
provide information about	include information about
walk up to	to
be gonna make	have
need the help of@R@	need the support of@R@
need to apply for	qualify for
wow@R@	be impressed by
be found in	be put
coach	push
be trained as@R@	train as@R@
be the role of	be the aim of
understand about	find out
put some of	have some of
be an expert in@R@	specialize in@R@
spread across@R@	go into@R@
be the last day of	be a case of
begin take@R@	take around@R@
benefit from@R@	enjoy the benefit of@R@
tighten@R@	narrow@R@
leave room for	have a room for
buy from	from
withdraw to@R@	retreat to@R@
love to watch	love watch
pull out of@R@	stay out of@R@
have the power of@R@	be worth more than@R@
be dead for	get married
emigrate to@R@	journey to@R@
start read@R@	love to read@R@
be impacted by@R@	have a negative impact on
upgrade to@R@	advertise@R@
watch for	hear for
cease	retire
be the perfect place for	be the best place for
skip to	boil to
be versed in	be trained in
mimic	compete
kick@R@	kick off@R@
be the role of	be the purpose of
try in@R@	in@R@
live from@R@	from@R@
be cast in@R@	be featured in@R@
become involved in@R@	become active in@R@
feel free to contact@R@	e-mail@R@
have some type of	have some form of
be vital to@R@	be important to@R@
be attentive to@R@	attend to@R@
need to pay for@R@	be willing to pay@R@
sell on	on
try use	begin to use
be reported by	be described by
have at	at
be angry with	be angry at
be more important than@R@	be more powerful than@R@
be seen as@R@	be considered to be@R@
come to love@R@	have a passion for@R@
be vital to@R@	be critical to@R@
be treated at@R@	be flown to@R@
be modified in@R@	be fixed in@R@
bang@R@	betray@R@
spend a lot of@R@	have a lot of@R@
tell the difference between@R@	differentiate between@R@
be attentive to	attend to
meet	be met by@R@
lay@R@	place@R@
look great in	look in
die of@R@	have symptom of@R@
be disclosed to@R@	be shared with@R@
be announced in@R@	declare
evade	be amazed by@R@
set off on@R@	come out on@R@
dont do	don know
perform on@R@	on@R@
redesign@R@	be modified by
joke	joke about
attract to@R@	pull up to@R@
consider in	march in
conserve@R@	preserve@R@
be raised in	raise@R@
be difficult for@R@	be bad news for@R@
be a student of@R@	graduate from@R@
be denied access to	get access to
flow	come down
be generous with@R@	volunteer@R@
read over	read through
love to watch	take in
offer a full range of@R@	provide a range of@R@
struggle through	battle for
remark to@R@	explain to@R@
die for	suffer for
be the intention of@R@	be the object of@R@
be posted at	be published
be launched in@R@	be formed in@R@
watch over@R@	in@R@
realize	acknowledge
be the best option for	be the right choice for
didnt get@R@	gonna get@R@
specialize in@R@	be specialized in@R@
be employed as@R@	be played by
survive in	exist in
want to check out@R@	like to watch@R@
be hard to@R@	be possible to@R@
be punished for	be found guilty of
reconstruct@R@	restore@R@
go be	live be
need to set up	want to put
total	sum
see a number of	find a lot of
want to work for@R@	work with@R@
blend@R@	mix up@R@
be infected with	be tested for
be disturbed by	disturb@R@
finish up@R@	please complete@R@
be placed by	position@R@
examine@R@	practice@R@
begin take@R@	take up to@R@
feel bad about	feel about
outpace	outweigh
see something in	find in
sail	navigate through
refine	round
be downloaded to@R@	be saved in@R@
kick off@R@	kick in@R@
doesnt	be gonna
be unable to@R@	hope to@R@
need to understand	want to see
be quoted in	be expressed in
be posted to@R@	be posted at@R@
be released for	be available for
be the subject of	be subject to
graduate with@R@	graduate@R@
decide to take	begin take
live with	come with
leap to	spring to
understand the need for@R@	need some kind of@R@
be friend with@R@	befriend@R@
work to get	want to get
head toward	head towards
make good use of@R@	be used by
occur over	take place over
be the development of@R@	be to have@R@
be certified by	empower@R@
spend a lot of@R@	spend a great deal of@R@
march into@R@	march to@R@
be a bit like@R@	be the type of@R@
flourish in	be grown in
go to work on	work on for
be advised of@R@	be informed of@R@
neutralize@R@	offset@R@
see many of	find one of
continue at@R@	begin at@R@
realize in	recover in
itch	arouse
come out as@R@	come out@R@
reminisce@R@	endow@R@
pass in	pass away in
explain in	write in
not@R@	sort of@R@
know anything about@R@	know about@R@
be convenient to	be located between
be situated on	be kept on
use this as@R@	behave@R@
find more information on@R@	read more about@R@
plan to do@R@	choose to do@R@
be customized for@R@	be tailored to@R@
learn by	by
work fine for@R@	do work for@R@
be home to	be the home of
be located next to@R@	be next to@R@
be more powerful than	have the power of
see a bit of@R@	find lot of@R@
live through	undergo
help relieve@R@	relieve@R@
slip in	slip on
do read	love read
learn in	find in
happen in@R@	grow in@R@
be nominated by@R@	be by@R@
run for	continue for
be retired from@R@	withdraw from@R@
start to use	get to use
want to create	want to write
see a number of	find a number of
be the case for	be a case of
wind up with@R@	come with@R@
be manufactured by@R@	manufacture
be most interested in	show interest in
persecute@R@	torture@R@
be offered@R@	be offered in@R@
believe for@R@	consider for@R@
dawn on	be clear to
take to be@R@	learn to be@R@
enjoy read	like to read
think like@R@	act like@R@
be ready to do@R@	end up do@R@
be upon@R@	fall upon@R@
be tailored to@R@	be for@R@
ship in@R@	send@R@
renovate	recreate
be recognized for@R@	be known for@R@
live to	go to
convert to	convince
last more than@R@	continue to take@R@
choose to take	continue to take
confuse	be confused by@R@
work to make	get to make
be damaged in@R@	destroy
be recruited by	enroll@R@
use for	for
be the use of	use the power of
alternate	shift
fry	cook
change	alter
exist as@R@	come as@R@
standardize@R@	streamline@R@
go near	come near
love the smell of@R@	enjoy look at@R@
run with	pass with
dont know@R@	be seen by
fake@R@	fashion@R@
pull at@R@	tug at@R@
try to	be able to
be elected	be elected as
oblige	press
know nothing about	know little about
be aimed at@R@	be written for@R@
cherish	adore
make do with@R@	don want@R@
get to keep@R@	get to get@R@
get any of	use one of
improve in@R@	go on in@R@
want with	like with
be cleared of	explain
choose to go to	try to go to
accept for	suggest for
choose to go to	decide to go to
require to	choose to
document	ignore
dont	wanna
be recommended to use@R@	be possible to use@R@
say by@R@	have by@R@
read	be read by@R@
last about	start take
be dominated by	dominate@R@
group@R@	be sorted by
be good to see@R@	be to see@R@
want for	be a requirement for
be reflective of@R@	reflect on@R@
nominate	be by@R@
transfer	ship to
be explained in@R@	be documented in@R@
count for@R@	weigh@R@
be unable to@R@	be sure to@R@
be sent by	send in@R@
publish on@R@	on@R@
happen in@R@	move in@R@
flow into	pour into
have extensive experience in@R@	be trained in@R@
be invented by@R@	invent
doesnt	not
beg@R@	lobby@R@
see one of	know some of
practice in@R@	implement in@R@
pass to@R@	run to@R@
love use@R@	make extensive use of@R@
make the trip to@R@	take a trip to@R@
provide lot of	provide a lot of
have a total of@R@	add@R@
come near	be near to
follow at@R@	come out at@R@
be set for@R@	be planned for@R@
be opened for	be open for
be released on@R@	on@R@
appear as@R@	come out@R@
turn to face	glance over at
be an active member of	form part of
be desirable for	be usual for
be used as@R@	be useful as@R@
look great in@R@	appear in@R@
meet@R@	meet with@R@
be large for@R@	be bad news for@R@
afford@R@	provide for@R@
be committed to@R@	be committed to provide@R@
underestimate@R@	evaluate@R@
have a great selection of@R@	have a selection of@R@
back up	be backed by@R@
vary by@R@	accord to@R@
take good care of@R@	eat for@R@
find a list of@R@	get a list of@R@
crave for@R@	pray@R@
spread to@R@	go to@R@
be one for	be the one for
drive for@R@	go home for@R@
have contact with@R@	need to contact@R@
be mounted in	come up on
say anything about@R@	get more information on@R@
choose to take	last up to
go to find	go to see
don	t
eat of@R@	ask of@R@
choose in	decide in
conduct	direct
find in@R@	decide in@R@
be executed by	adjust to@R@
be paid by@R@	pay for
swim to	spring to
overpower@R@	be overtaken by
be alien to@R@	be unfamiliar to@R@
remain to	continue to
win at@R@	have at@R@
be answered in	be considered in
love read	love to read
enjoy be@R@	love be@R@
pay by@R@	buy with@R@
exhibit in@R@	demonstrate in@R@
distinguish	recognize
float	crawl
evolve from	jump from
ask in	take in
dot	line
hear a lot about@R@	talk a lot about@R@
have contact with@R@	try to reach@R@
s for	s in
relax in@R@	soak in@R@
get kind of@R@	be a sort of@R@
be offensive to	harm
hang out with	go out with
happen be@R@	have be@R@
get to hear@R@	get to know@R@
be lost@R@	get lost in@R@
be difficult in	be in
fit on@R@	show up on@R@
get bored with@R@	get tired of@R@
mention this to@R@	comment to@R@
gamble	bet on
amaze@R@	be surprised by
earn in	obtain in
be a key part of@R@	be an important aspect of@R@
stop for@R@	go out for@R@
look great on@R@	look like on@R@
be illustrated in@R@	be depicted in@R@
bring on@R@	on@R@
welcome to@R@	be welcome to@R@
be held accountable for@R@	accept responsibility for@R@
run between	occur between
provide a forum for@R@	create opportunity for@R@
sleep for@R@	sleep in@R@
excuse	forgive
celebrate in@R@	be respected by
be more susceptible to@R@	be susceptible to@R@
have plan for	plan to take
manage to@R@	use to@R@
be the reality of@R@	be the creation of@R@
impede@R@	inhibit@R@
be taken@R@	be taken as@R@
be susceptible to	be more susceptible to
get lot of	have ton of
be slated for	be scheduled on
enjoy read@R@	look to read@R@
be the part of@R@	be half of@R@
like with@R@	with@R@
take a number of@R@	make extensive use of@R@
be accomplished by@R@	adapt to
minister to@R@	tend@R@
s	s on
try to give@R@	want to play@R@
be pushed into	be into
login to@R@	have no access to@R@
struggle to find	be unable to find
need the help of@R@	stress the importance of@R@
be transmitted by@R@	air on
be understood by	begin to see@R@
be great news for@R@	be good news for@R@
amount to	sum up
begin work for	go to work for
know the history of	know all about
be safer than@R@	be better than@R@
outlast@R@	be survived by
scare@R@	discourage@R@
s	s of
tend to use@R@	begin to use@R@
have dinner at	have at
occur in@R@	go up in@R@
remain for	for
be bored with	get sick of
attach to@R@	bind to@R@
be targeted by	lay off@R@
lobby@R@	pray@R@
be cool with	be fine with
be typical of	be the type of
grow up@R@	grow with@R@
present	be presented by@R@
contract with@R@	contract@R@
use	begin use
note in@R@	point out in@R@
yield	be generated by@R@
need to watch	want to watch
be the price of	be the cost of
proceed@R@	remain@R@
offer at@R@	at@R@
stuff@R@	thrust@R@
be trained by@R@	coach
search for@R@	look for in@R@
come without@R@	leave without@R@
get as@R@	as@R@
receive through	come through
slice	cut up
watch for	read for
look for on	expect on
be tailored for	be customized to
make a list of	see a list of
need the help of	stress the need for
list all of@R@	be listed by
acquire in@R@	recognize in@R@
witness in	know in
be produced in@R@	be assembled in@R@
go something like@R@	feel like@R@
see more of@R@	need more of@R@
need some sort of@R@	need some kind of@R@
fade@R@	die in@R@
play as@R@	work as@R@
keep say	say
be specialist in	be trained in
look better than@R@	look than@R@
need to find@R@	want to find@R@
carry out	adapt to
read through	read
be supposed to be in@R@	be to be in@R@
like to give	need to leave
travel on@R@	continue on@R@
be passed on to@R@	be forwarded to@R@
fly over@R@	run over@R@
make on@R@	on@R@
be rooted in	be grounded in
be a good idea for@R@	make sense for@R@
be nicknamed	become known as
play around with@R@	begin work with@R@
authorize@R@	pass@R@
be stationed at	be stationed in
offer be@R@	need be@R@
have no interest in@R@	become interested in@R@
dress up as	dress like
finish with@R@	come out with@R@
provide lot of@R@	have a wealth of@R@
need to hear	need to see
be the sum of	be the core of
know the answer to@R@	be the answer to@R@
start out with@R@	with@R@
make money on	make money with
learn for@R@	for@R@
wet@R@	embrace@R@
want to	manage to
be found in	be set up
free@R@	liberate@R@
enjoy spend time with	spend with
walk past	sit by
decide to start@R@	start off@R@
be an integral part of@R@	be a important part of@R@
die of	diagnose with
appear at@R@	show at@R@
be a blend of@R@	be a mix of@R@
be treated at@R@	be admitted to@R@
function	manage
be confident of	be certain of
be clear about@R@	be clear on@R@
roll@R@	roll over@R@
integrate with@R@	be integrated in@R@
add on@R@	take on@R@
visit to@R@	be seen by
become attached to	turn to
weaken@R@	soften@R@
reach the top of@R@	beat out@R@
continue to have	start to have
wait in	remain in
apply in@R@	in@R@
be collected from@R@	be purchased from@R@
be the best way for	be best for
hook on	be hooked on
be presented as	be created as
find one of	have some of
walk in@R@	walk through@R@
improve on@R@	build on@R@
yield to	give way to
introduce in@R@	in@R@
be made at	be required at
provide a wealth of@R@	have a lot of@R@
jump into	roll into
look kind of@R@	be the type of@R@
contract with	contract
send@R@	be directed by
work like	play
chat about@R@	blog about@R@
become acquainted with@R@	be acquainted with@R@
know a lot of@R@	find a variety of@R@
emerge in	take place in
rule in@R@	find in@R@
be described in@R@	be outlined in@R@
be presented as@R@	be intended to be@R@
rise in@R@	go on in@R@
provide link to	contain link to
take into	be taken into
pick up a copy of	have copy of
change for@R@	turn out for@R@
stir up@R@	work up@R@
learn@R@	practice@R@
be stronger than@R@	be easier than@R@
incorporate@R@	contain@R@
be president of	be directed by@R@
comment on@R@	be said by
pick up a copy of@R@	send a copy of@R@
be ready to@R@	to@R@
make money on	make from
navigate@R@	sail from@R@
pay a visit to@R@	come to@R@
look to make@R@	intend to make@R@
be all part of	be all of
lose out on	miss
be the duty of	be the policy of
be allowed to use	be allowed to have
begin to	have to
keep look at	start look at
meet one of	have some of
be a problem with	be an issue with
be designated by@R@	be assigned by@R@
be torn between@R@	decide between@R@
be attracted by	be attractive to@R@
run into@R@	go into@R@
open in@R@	be opened in@R@
be reduced by	cut down@R@
correct	rectify
want to feel	want to enjoy
be the director of	be the head of
feel for@R@	for@R@
wish for	like
note@R@	take note of@R@
be headed by@R@	be head of
please keep	be kept by@R@
spring to@R@	come up to@R@
enjoy on	on
have a significant impact on@R@	have no impact on@R@
occur between@R@	lie between@R@
make his way to@R@	make their way to@R@
be exhibited in	be displayed in
tap on	tap
be brought in@R@	be submitted to@R@
be made out of@R@	make up of@R@
learn a lot about@R@	talk a lot about@R@
pose for	set up for
honor@R@	abide by@R@
be a man of	be a lover of
renounce	let go of
be to build@R@	be to help@R@
be carried out by	conform to@R@
tweak	adjust
distract@R@	be disturbed by
inflict on@R@	impose on@R@
be picked up by@R@	find out
compete in@R@	run in@R@
provide to	provide assistance to
find a couple of@R@	take a couple of@R@
beg@R@	lobby for@R@
be focussed on	be focused on
dont	don
be a big fan of@R@	be big fan of@R@
like to share@R@	like to give@R@
be determined by	be by
be interrupted by@R@	be disturbed by@R@
pick up a copy of	buy a copy of
star as	come out as
want to raise	need to have
seem to work for@R@	work for@R@
be mailed to	be e-mailed to
come down on@R@	arrive on@R@
be prescribed for@R@	be licensed for@R@
do this with	do with
teach at@R@	study at@R@
sort out	sort
be switched to	be treated with
arise from@R@	spring from@R@
carry on with@R@	go on with@R@
be the most important part of@R@	be a vital part of@R@
be designed to help@R@	be designed to give@R@
leap to	come up to
vote in	vote on
mend	define
be split between@R@	be between@R@
minimize	decrease
rule over@R@	rule on@R@
be hit by@R@	hit on
be located between@R@	be located at@R@
have no use for	use
censor	forbid
think some of	think a lot of
realise	be recognised by@R@
launch into@R@	create@R@
have a positive effect on@R@	impact@R@
tour in	tour
make by@R@	by@R@
reinvent	remodel
want to keep	work to keep
gesture to@R@	motion to@R@
disagree with@R@	take issue with@R@
be cause for@R@	cause a lot of@R@
be paid to	be given to
call from	come up
be fed up with@R@	tire of@R@
stop play	try to play
live out of@R@	live out@R@
add up@R@	sum@R@
be recognised by	be appreciative of@R@
be ready to do@R@	be gonna do@R@
visit with@R@	interfere with@R@
renounce	resign
be bought by@R@	buy
be smaller than	be bigger than
trigger@R@	activate@R@
dress	want to wear
defend@R@	be opposed by
discuss with@R@	communicate with@R@
be the best choice for@R@	be a good option for@R@
reiterate	be told by@R@
be guaranteed	be assured of
build with@R@	increase with@R@
crash in	go down in
view as@R@	regard as@R@
be a good place for@R@	be a place for@R@
reach the top of	surpass
please with	have with
release@R@	put out@R@
award	deliver
be suited for	be intended for
play a part in@R@	be a factor in@R@
confuse	cover up
go down	go down in
be good news for@R@	be good for@R@
be a reflection of	mirror
face in	have in
endorse@R@	be supported by
move closer to@R@	get closer to@R@
anger	be bothered by@R@
see of@R@	find all of@R@
be welcome in	welcome
be spread over	run over
be control	manage
enjoy visit	enjoy see
be explored in@R@	be described in@R@
arrive from	flow from
control	help control
see the need for@R@	need to wait for@R@
please provide	please enter
model	simulate
be a mixture of@R@	be a type of@R@
confiscate	capture
unleash	liberate
fail to meet@R@	remain of@R@
decide to take	consider take
crash in	sink in
be held from@R@	be held@R@
have a link to	have tie to
document	record
be granted by@R@	be presented by@R@
keep ask	ask
be indicative of	be the sign of
meet all of	get a handle on
find a link to@R@	have a link to@R@
know anything about@R@	know more about@R@
look kind of@R@	be a sort of@R@
be divided between	be in between
connect to@R@	pertain to@R@
personalize	strengthen
be slated for	be scheduled in
dissect@R@	analyse@R@
take over for@R@	take over from@R@
sink to@R@	settle to@R@
volunteer for@R@	at@R@
mourn	grieve for
compile a list of	see a list of
get ahold of@R@	get of@R@
be the manager of	be director of
be reduced in@R@	double@R@
hang with@R@	go out with@R@
meet@R@	carry out@R@
require more than@R@	get more than@R@
turn@R@	be developed by
miss have@R@	enjoy have@R@
be a major source of@R@	be a good source of@R@
ski	be moved by@R@
be ready to take	need to take
generate a lot of@R@	give a lot of@R@
understand in	buy in
feel be	go be
emerge from	from
grow for@R@	for@R@
be illustrated in@R@	be demonstrated in@R@
be the best part of	be one part of
send a letter to	write a letter to
die during	take place during
be asked to	prefer to
watch out for@R@	obtain for@R@
be suited to@R@	be suitable for@R@
term@R@	pronounce@R@
need more than@R@	do more than@R@
hear of@R@	learn of@R@
feel a sense of@R@	create a sense of@R@
pay by@R@	pay with@R@
heal@R@	be fixed by
expect@R@	ask@R@
want about	blog about
be explored in@R@	be dealt with in@R@
be fascinated with	be intrigued by
slip off	put on
vote in	vote for
allow in@R@	let in@R@
negotiate	negotiate for
misplace@R@	leave@R@
expect@R@	expect more from@R@
be tough for@R@	be bad news for@R@
be a large part of	be a big part of
plan to use@R@	wish to use@R@
consider get	like to buy
run towards@R@	look toward@R@
minimize	cut down
get interested in	have a strong interest in
recruit for@R@	procure@R@
place an order for	be ordered by@R@
speak from	work from
relocate to@R@	move to@R@
look for	search for
be a piece of	be a component of
get to play	like to play
hurry to@R@	run to@R@
contain a list of	be a list of
be a prime example of	be an example of
personalize	revolutionize
be blown by	suck on@R@
escape with	flee to
be to build	be to support
do to help@R@	do to improve@R@
lose track of	line
have a significant impact on@R@	have a major impact on@R@
load@R@	fill up@R@
proceed with@R@	go on with@R@
know at@R@	have at@R@
occur from	operate from
go than	do than
have a great deal of	have of
be shifted to	be to
hold out@R@	give out@R@
have have	have
be the quality of@R@	be the topic of@R@
remember in@R@	imagine in@R@
be run@R@	operate on@R@
spring from	jump from
have no knowledge of	don know
like to use	make use of
be designed to help	be designed to give
restrict	qualify
be the gift of	be the word of
s@R@	s of@R@
swear	protest
be believed to be@R@	be thought to be@R@
have symptom of	be afflicted with
fight	oppose to
be home to	be the seat of
offer a wide range of	provide a wide range of
know anything about@R@	know a lot about@R@
be an inspiration to	be inspired by@R@
be the use of	include the use of
dive	bury
graduate with@R@	graduate in@R@
make a commitment to	dedicate to
want to show@R@	need to show@R@
sit for@R@	set for@R@
try some of	use some of
be all in@R@	be in@R@
start after@R@	have after@R@
shout to	call out to
go in@R@	run in@R@
want to wear	dress
occur in	in
be top of	outdo
reward@R@	honour@R@
have a problem with	have trouble with
compensate	be decided by@R@
be counted as	count as
take the lead in	direct
be painted in@R@	be in@R@
be downloaded to@R@	be written to@R@
stop play@R@	play like@R@
like to use	be used by@R@
be a big part of	be an integral part of
display on@R@	be visible on@R@
decide to@R@	choose to@R@
be done@R@	be done for@R@
be way to	be the sort of
ignite	wake up in
like to use	prefer to use
enrich	perfect
turn off	grow by
occur for	for
be accepted for	suggest for
involve the use of	be the use of
embody	be a symbol of
get a bunch of	get a lot of
be a major cause of@R@	be a cause of@R@
remain for@R@	stay for@R@
mean to@R@	think of@R@
be the role of	be the duty of
be announced in@R@	be announced by@R@
chart	plot
be allowed to	be allowed to have
be played on	be played at
please with	enjoy with
get a copy of@R@	send a copy of@R@
take precedence over@R@	precede@R@
show up on	come out on
be dressed in	trim
happen as@R@	develop as@R@
enjoy use@R@	recommend the use of@R@
be required@R@	be required for@R@
get a bit of@R@	have a little bit of@R@
spend a lot of@R@	make a lot of@R@
set out	start write
lose on@R@	make on@R@
be to promote	be the development of
be released on	come out on
want to participate in	be interested in participate in
be classed as@R@	be described as@R@
want to	have to
distinguish between	differentiate between
be addressed in	be explained in
end up buy	like to buy
be connected by	unite@R@
get caught in@R@	get caught up in@R@
be all on@R@	be both on@R@
creep to	crawl to
need to bring	try to add
try to start@R@	begin@R@
cut down@R@	cut down on@R@
signal to	sign up to
come to make@R@	need to make@R@
put his hand on	pat
associate with	connect with
