,text,hypothesis,entailment,tx,tpred,ty,hx,hpred,hy
5574,graduate return to city,graduate grow up in city,True,graduate,return to,city,graduate,grow up in,city
5575,graduate return to city,graduate be bear in city,True,graduate,return to,city,graduate,be bear in,city
5576,graduate be bear in city,graduate live in city,True,graduate,be bear in,city,graduate,live in,city
5577,graduate return to city,graduate live in city,True,graduate,return to,city,graduate,live in,city
5578,graduate move to city,graduate be bear in city,True,graduate,move to,city,graduate,be bear in,city
5579,graduate reside in city,graduate be bear in city,True,graduate,reside in,city,graduate,be bear in,city
5580,graduate move to city,graduate live in city,True,graduate,move to,city,graduate,live in,city
5581,graduate grow up in city,graduate return to city,True,graduate,grow up in,city,graduate,return to,city
5582,graduate live in city,graduate be bear in city,True,graduate,live in,city,graduate,be bear in,city
5583,graduate grow up in city,graduate live in city,True,graduate,grow up in,city,graduate,live in,city
5584,graduate reside in city,graduate live in city,True,graduate,reside in,city,graduate,live in,city
5585,graduate grow up in city,graduate be bear in city,True,graduate,grow up in,city,graduate,be bear in,city
5586,service report on time,service report in time,True,service,report on,time,service,report in,time
5587,time begin with service,service mark beginning of time,True,time,begin with,service,service,mark beginning of,time
5588,service mark beginning of time,service begin time,True,service,mark beginning of,time,service,begin,time
5589,time begin with service,service begin time,True,time,begin with,service,service,begin,time
5590,service report in time,service report on time,True,service,report in,time,service,report on,time
5591,service mark beginning of time,time begin with service,True,service,mark beginning of,time,time,begin with,service
5592,time begin on service,service mark beginning of time,True,time,begin on,service,service,mark beginning of,time
5593,service begin time,time begin on service,True,service,begin,time,time,begin on,service
5594,service announce in time,service report on time,True,service,announce in,time,service,report on,time
5595,time begin with service,time begin on service,True,time,begin with,service,time,begin on,service
5596,time begin on service,time begin with service,True,time,begin on,service,time,begin with,service
5597,service report on time,service announce in time,True,service,report on,time,service,announce in,time
5598,service announce in time,service report in time,True,service,announce in,time,service,report in,time
5599,service mark beginning of time,time begin on service,True,service,mark beginning of,time,time,begin on,service
5600,time begin on service,service begin time,True,time,begin on,service,service,begin,time
5601,service begin time,time begin with service,True,service,begin,time,time,begin with,service
5602,service report in time,service announce in time,True,service,report in,time,service,announce in,time
5603,service begin time,service mark beginning of time,True,service,begin,time,service,mark beginning of,time
5604,engine launch application,engine release application,True,engine,launch,application,engine,release,application
5605,engine release application,engine offer application,True,engine,release,application,engine,offer,application
5606,engine release application,engine announce application,True,engine,release,application,engine,announce,application
5607,engine announce application,engine offer application,True,engine,announce,application,engine,offer,application
5608,engine offer application,engine introduce application,True,engine,offer,application,engine,introduce,application
5609,engine offer application,engine release application,True,engine,offer,application,engine,release,application
5610,engine release application,engine introduce application,True,engine,release,application,engine,introduce,application
5611,engine introduce application,engine launch application,True,engine,introduce,application,engine,launch,application
5612,engine buy application,engine acquire application,True,engine,buy,application,engine,acquire,application
5613,engine offer application,engine launch application,True,engine,offer,application,engine,launch,application
5614,engine release application,engine launch application,True,engine,release,application,engine,launch,application
5615,engine launch application,engine offer application,True,engine,launch,application,engine,offer,application
5616,engine announce application,engine introduce application,True,engine,announce,application,engine,introduce,application
5617,engine launch application,engine announce application,True,engine,launch,application,engine,announce,application
5618,engine introduce application,engine announce application,True,engine,introduce,application,engine,announce,application
5619,engine introduce application,engine release application,True,engine,introduce,application,engine,release,application
5620,engine launch application,engine introduce application,True,engine,launch,application,engine,introduce,application
5621,engine acquire application,engine buy application,True,engine,acquire,application,engine,buy,application
5622,engine introduce application,engine offer application,True,engine,introduce,application,engine,offer,application
5623,engine announce application,engine launch application,True,engine,announce,application,engine,launch,application
5624,engine announce application,engine release application,True,engine,announce,application,engine,release,application
5625,engine offer application,engine announce application,True,engine,offer,application,engine,announce,application
5626,cause be associate with effect,cause cause effect,True,cause,be associate with,effect,cause,cause,effect
5627,cause can cause effect,cause may cause effect,True,cause,can cause,effect,cause,may cause,effect
5628,cause may cause effect,cause can lead to effect,True,cause,may cause,effect,cause,can lead to,effect
5629,cause cause effect,cause lead to effect,True,cause,cause,effect,cause,lead to,effect
5630,cause may cause effect,cause can cause effect,True,cause,may cause,effect,cause,can cause,effect
5631,cause lead to effect,cause can cause effect,True,cause,lead to,effect,cause,can cause,effect
5632,cause cause effect,cause can cause effect,True,cause,cause,effect,cause,can cause,effect
5633,effect cause cause,effect can cause cause,True,effect,cause,cause,effect,can cause,cause
5634,cause can result in effect,cause be associate with effect,True,cause,can result in,effect,cause,be associate with,effect
5635,cause lead to effect,cause can result in effect,True,cause,lead to,effect,cause,can result in,effect
5636,cause lead to effect,cause may cause effect,True,cause,lead to,effect,cause,may cause,effect
5637,cause can cause effect,cause lead to effect,True,cause,can cause,effect,cause,lead to,effect
5638,cause cause effect,cause be associate with effect,True,cause,cause,effect,cause,be associate with,effect
5639,cause can lead to effect,cause may cause effect,True,cause,can lead to,effect,cause,may cause,effect
5640,cause lead to effect,cause can lead to effect,True,cause,lead to,effect,cause,can lead to,effect
5641,cause can cause effect,cause be associate with effect,True,cause,can cause,effect,cause,be associate with,effect
5642,cause may cause effect,cause lead to effect,True,cause,may cause,effect,cause,lead to,effect
5643,cause lead to effect,cause cause effect,True,cause,lead to,effect,cause,cause,effect
5644,cause cause effect,cause may cause effect,True,cause,cause,effect,cause,may cause,effect
5645,cause can cause effect,cause cause effect,True,cause,can cause,effect,cause,cause,effect
5646,effect can cause cause,effect cause cause,True,effect,can cause,cause,effect,cause,cause
5647,cause be associate with effect,cause can cause effect,True,cause,be associate with,effect,cause,can cause,effect
5648,cause can result in effect,cause lead to effect,True,cause,can result in,effect,cause,lead to,effect
5649,cause can lead to effect,cause can cause effect,True,cause,can lead to,effect,cause,can cause,effect
5650,cause cause effect,cause can lead to effect,True,cause,cause,effect,cause,can lead to,effect
5651,cause be associate with effect,cause may cause effect,True,cause,be associate with,effect,cause,may cause,effect
5652,cause can result in effect,cause can lead to effect,True,cause,can result in,effect,cause,can lead to,effect
5653,cause may cause effect,cause be associate with effect,True,cause,may cause,effect,cause,be associate with,effect
5654,cause can lead to effect,cause be associate with effect,True,cause,can lead to,effect,cause,be associate with,effect
5655,cause can result in effect,cause can cause effect,True,cause,can result in,effect,cause,can cause,effect
5656,cause may cause effect,cause can result in effect,True,cause,may cause,effect,cause,can result in,effect
5657,cause can cause effect,cause can lead to effect,True,cause,can cause,effect,cause,can lead to,effect
5658,cause can cause effect,cause can result in effect,True,cause,can cause,effect,cause,can result in,effect
5659,cause can result in effect,cause cause effect,True,cause,can result in,effect,cause,cause,effect
5660,cause be associate with effect,cause can result in effect,True,cause,be associate with,effect,cause,can result in,effect
5661,cause can lead to effect,cause can result in effect,True,cause,can lead to,effect,cause,can result in,effect
5662,cause be associate with effect,cause lead to effect,True,cause,be associate with,effect,cause,lead to,effect
5663,cause can lead to effect,cause lead to effect,True,cause,can lead to,effect,cause,lead to,effect
5664,cause can lead to effect,cause cause effect,True,cause,can lead to,effect,cause,cause,effect
5665,cause be associate with effect,cause can lead to effect,True,cause,be associate with,effect,cause,can lead to,effect
5666,cause can result in effect,cause may cause effect,True,cause,can result in,effect,cause,may cause,effect
5667,cause may cause effect,cause cause effect,True,cause,may cause,effect,cause,cause,effect
5668,cause cause effect,cause can result in effect,True,cause,cause,effect,cause,can result in,effect
5669,cause lead to effect,cause be associate with effect,True,cause,lead to,effect,cause,be associate with,effect
5670,complication can lead to effect,complication can cause effect,True,complication,can lead to,effect,complication,can cause,effect
5671,effect  follow by complication,effect cause complication,True,effect, follow by,complication,effect,cause,complication
5672,complication can cause effect,complication can lead to effect,True,complication,can cause,effect,complication,can lead to,effect
5673,effect can cause complication,effect  follow by complication,True,effect,can cause,complication,effect, follow by,complication
5674,complication cause effect,complication be associate with effect,True,complication,cause,effect,complication,be associate with,effect
5675,complication be associate with effect,complication may cause effect,True,complication,be associate with,effect,complication,may cause,effect
5676,complication may cause effect,complication can cause effect,True,complication,may cause,effect,complication,can cause,effect
5677,effect cause complication,effect can lead to complication,True,effect,cause,complication,effect,can lead to,complication
5678,complication can lead to effect,complication be associate with effect,True,complication,can lead to,effect,complication,be associate with,effect
5679,effect can lead to complication,effect can cause complication,True,effect,can lead to,complication,effect,can cause,complication
5680,complication cause effect,complication may cause effect,True,complication,cause,effect,complication,may cause,effect
5681,effect cause complication,effect  follow by complication,True,effect,cause,complication,effect, follow by,complication
5682,effect  follow by complication,effect can cause complication,True,effect, follow by,complication,effect,can cause,complication
5683,effect cause complication,effect can cause complication,True,effect,cause,complication,effect,can cause,complication
5684,complication be associate with effect,complication can lead to effect,True,complication,be associate with,effect,complication,can lead to,effect
5685,complication can lead to effect,complication may cause effect,True,complication,can lead to,effect,complication,may cause,effect
5686,effect  follow by complication,effect can lead to complication,True,effect, follow by,complication,effect,can lead to,complication
5687,effect can cause complication,effect can lead to complication,True,effect,can cause,complication,effect,can lead to,complication
5688,complication be associate with effect,complication can cause effect,True,complication,be associate with,effect,complication,can cause,effect
5689,complication can cause effect,complication be associate with effect,True,complication,can cause,effect,complication,be associate with,effect
5690,complication may cause effect,complication cause effect,True,complication,may cause,effect,complication,cause,effect
5691,complication cause effect,complication can lead to effect,True,complication,cause,effect,complication,can lead to,effect
5692,complication can cause effect,complication cause effect,True,complication,can cause,effect,complication,cause,effect
5693,complication can lead to effect,complication cause effect,True,complication,can lead to,effect,complication,cause,effect
5694,complication be associate with effect,complication cause effect,True,complication,be associate with,effect,complication,cause,effect
5695,complication may cause effect,complication be associate with effect,True,complication,may cause,effect,complication,be associate with,effect
5696,effect can lead to complication,effect cause complication,True,effect,can lead to,complication,effect,cause,complication
5697,effect can lead to complication,effect  follow by complication,True,effect,can lead to,complication,effect, follow by,complication
5698,complication cause effect,complication can cause effect,True,complication,cause,effect,complication,can cause,effect
5699,effect can cause complication,effect cause complication,True,effect,can cause,complication,effect,cause,complication
5700,complication can cause effect,complication may cause effect,True,complication,can cause,effect,complication,may cause,effect
5701,complication may cause effect,complication can lead to effect,True,complication,may cause,effect,complication,can lead to,effect
5702,work return to city,work live in city,True,work,return to,city,work,live in,city
5703,work move to city,work be bear in city,True,work,move to,city,work,be bear in,city
5704,work live in city,work return to city,True,work,live in,city,work,return to,city
5705,work be bear in city,work return to city,True,work,be bear in,city,work,return to,city
5706,work move to city,work return to city,True,work,move to,city,work,return to,city
5707,work leave city,work go to city,True,work,leave,city,work,go to,city
5708,work be bear in city,work arrive in city,True,work,be bear in,city,work,arrive in,city
5709,work be bear in city,work live in city,True,work,be bear in,city,work,live in,city
5710,work leave city,work live in city,True,work,leave,city,work,live in,city
5711,work arrive in city,work leave city,True,work,arrive in,city,work,leave,city
5712,work be bear in city,work move to city,True,work,be bear in,city,work,move to,city
5713,work die in city,work leave city,True,work,die in,city,work,leave,city
5714,work return to city,work move to city,True,work,return to,city,work,move to,city
5715,work die in city,work return to city,True,work,die in,city,work,return to,city
5716,work arrive in city,work be bear in city,True,work,arrive in,city,work,be bear in,city
5717,work arrive in city,work go to city,True,work,arrive in,city,work,go to,city
5718,work leave city,work arrive in city,True,work,leave,city,work,arrive in,city
5719,work arrive in city,work return to city,True,work,arrive in,city,work,return to,city
5720,work live in city,work arrive in city,True,work,live in,city,work,arrive in,city
5721,work return to city,work arrive in city,True,work,return to,city,work,arrive in,city
5722,work die in city,work arrive in city,True,work,die in,city,work,arrive in,city
5723,work die in city,work move to city,True,work,die in,city,work,move to,city
5724,work live in city,work move to city,True,work,live in,city,work,move to,city
5725,work move to city,work arrive in city,True,work,move to,city,work,arrive in,city
5726,work go to city,work be bear in city,True,work,go to,city,work,be bear in,city
5727,work leave city,work return to city,True,work,leave,city,work,return to,city
5728,work live in city,work die in city,True,work,live in,city,work,die in,city
5729,work leave city,work die in city,True,work,leave,city,work,die in,city
5730,work go to city,work move to city,True,work,go to,city,work,move to,city
5731,work leave city,work be bear in city,True,work,leave,city,work,be bear in,city
5732,work return to city,work go to city,True,work,return to,city,work,go to,city
5733,work return to city,work be bear in city,True,work,return to,city,work,be bear in,city
5734,work die in city,work live in city,True,work,die in,city,work,live in,city
5735,work be bear in city,work die in city,True,work,be bear in,city,work,die in,city
5736,work die in city,work go to city,True,work,die in,city,work,go to,city
5737,work live in city,work be bear in city,True,work,live in,city,work,be bear in,city
5738,work leave city,work move to city,True,work,leave,city,work,move to,city
5739,work move to city,work live in city,True,work,move to,city,work,live in,city
5740,work be bear in city,work leave city,True,work,be bear in,city,work,leave,city
5741,work move to city,work go to city,True,work,move to,city,work,go to,city
5742,work go to city,work leave city,True,work,go to,city,work,leave,city
5743,work be bear in city,work go to city,True,work,be bear in,city,work,go to,city
5744,work move to city,work die in city,True,work,move to,city,work,die in,city
5745,work go to city,work die in city,True,work,go to,city,work,die in,city
5746,work return to city,work leave city,True,work,return to,city,work,leave,city
5747,work arrive in city,work die in city,True,work,arrive in,city,work,die in,city
5748,work go to city,work return to city,True,work,go to,city,work,return to,city
5749,work return to city,work die in city,True,work,return to,city,work,die in,city
5750,work live in city,work go to city,True,work,live in,city,work,go to,city
5751,work arrive in city,work move to city,True,work,arrive in,city,work,move to,city
5752,work die in city,work be bear in city,True,work,die in,city,work,be bear in,city
5753,work go to city,work arrive in city,True,work,go to,city,work,arrive in,city
5754,work arrive in city,work live in city,True,work,arrive in,city,work,live in,city
5755,work move to city,work leave city,True,work,move to,city,work,leave,city
5756,work go to city,work live in city,True,work,go to,city,work,live in,city
5757,work live in city,work leave city,True,work,live in,city,work,leave,city
5758,disease appear in city,disease strike city,True,disease,appear in,city,disease,strike,city
5759,disease appear in city,disease hit city,True,disease,appear in,city,disease,hit,city
5760,disease hit city,disease strike city,True,disease,hit,city,disease,strike,city
5761,disease strike city,disease appear in city,True,disease,strike,city,disease,appear in,city
5762,disease strike city,disease hit city,True,disease,strike,city,disease,hit,city
5763,disease hit city,disease appear in city,True,disease,hit,city,disease,appear in,city
5764,nutrient be find in product,product be fortify with nutrient,True,nutrient,be find in,product,product,be fortify with,nutrient
5765,nutrient be add to product,product be high in nutrient,True,nutrient,be add to,product,product,be high in,nutrient
5766,product be fortify with nutrient,product be source of nutrient,True,product,be fortify with,nutrient,product,be source of,nutrient
5767,product be high in nutrient,nutrient be add to product,True,product,be high in,nutrient,nutrient,be add to,product
5768,product be source of nutrient,nutrient be add to product,True,product,be source of,nutrient,nutrient,be add to,product
5769,product be fortify with nutrient,nutrient be add to product,True,product,be fortify with,nutrient,nutrient,be add to,product
5770,nutrient can be find in product,product contain nutrient,True,nutrient,can be find in,product,product,contain,nutrient
5771,product be source of nutrient,product be rich in nutrient,True,product,be source of,nutrient,product,be rich in,nutrient
5772,product be source of nutrient,product be high in nutrient,True,product,be source of,nutrient,product,be high in,nutrient
5773,nutrient can be find in product,product be high in nutrient,True,nutrient,can be find in,product,product,be high in,nutrient
5774,nutrient be add to product,nutrient be find in product,True,nutrient,be add to,product,nutrient,be find in,product
5775,product be rich in nutrient,nutrient can be find in product,True,product,be rich in,nutrient,nutrient,can be find in,product
5776,product be source of nutrient,product be fortify with nutrient,True,product,be source of,nutrient,product,be fortify with,nutrient
5777,product provide nutrient,nutrient can be find in product,True,product,provide,nutrient,nutrient,can be find in,product
5778,nutrient be add to product,product be fortify with nutrient,True,nutrient,be add to,product,product,be fortify with,nutrient
5779,nutrient be find in product,nutrient be add to product,True,nutrient,be find in,product,nutrient,be add to,product
5780,product provide nutrient,nutrient be add to product,True,product,provide,nutrient,nutrient,be add to,product
5781,product be rich in nutrient,product be source of nutrient,True,product,be rich in,nutrient,product,be source of,nutrient
5782,nutrient be find in product,product be high in nutrient,True,nutrient,be find in,product,product,be high in,nutrient
5783,product be rich in nutrient,product contain nutrient,True,product,be rich in,nutrient,product,contain,nutrient
5784,nutrient can be find in product,product be rich in nutrient,True,nutrient,can be find in,product,product,be rich in,nutrient
5785,product be rich in nutrient,nutrient be add to product,True,product,be rich in,nutrient,nutrient,be add to,product
5786,product be high in nutrient,product be rich in nutrient,True,product,be high in,nutrient,product,be rich in,nutrient
5787,nutrient be add to product,product be rich in nutrient,True,nutrient,be add to,product,product,be rich in,nutrient
5788,nutrient be find in product,product be rich in nutrient,True,nutrient,be find in,product,product,be rich in,nutrient
5789,product provide nutrient,product be rich in nutrient,True,product,provide,nutrient,product,be rich in,nutrient
5790,nutrient can be find in product,nutrient be find in product,True,nutrient,can be find in,product,nutrient,be find in,product
5791,product provide nutrient,product be fortify with nutrient,True,product,provide,nutrient,product,be fortify with,nutrient
5792,nutrient be find in product,product provide nutrient,True,nutrient,be find in,product,product,provide,nutrient
5793,product be high in nutrient,product be fortify with nutrient,True,product,be high in,nutrient,product,be fortify with,nutrient
5794,product be fortify with nutrient,product be rich in nutrient,True,product,be fortify with,nutrient,product,be rich in,nutrient
5795,product contain nutrient,product be source of nutrient,True,product,contain,nutrient,product,be source of,nutrient
5796,nutrient can be find in product,nutrient be add to product,True,nutrient,can be find in,product,nutrient,be add to,product
5797,product be high in nutrient,product provide nutrient,True,product,be high in,nutrient,product,provide,nutrient
5798,nutrient can be find in product,product provide nutrient,True,nutrient,can be find in,product,product,provide,nutrient
5799,product contain nutrient,product be fortify with nutrient,True,product,contain,nutrient,product,be fortify with,nutrient
5800,nutrient be add to product,product contain nutrient,True,nutrient,be add to,product,product,contain,nutrient
5801,nutrient can be find in product,product be source of nutrient,True,nutrient,can be find in,product,product,be source of,nutrient
5802,product be rich in nutrient,nutrient be find in product,True,product,be rich in,nutrient,nutrient,be find in,product
5803,nutrient be find in product,nutrient can be find in product,True,nutrient,be find in,product,nutrient,can be find in,product
5804,nutrient be add to product,product be source of nutrient,True,nutrient,be add to,product,product,be source of,nutrient
5805,product be fortify with nutrient,nutrient be find in product,True,product,be fortify with,nutrient,nutrient,be find in,product
5806,nutrient be find in product,product contain nutrient,True,nutrient,be find in,product,product,contain,nutrient
5807,product provide nutrient,product be high in nutrient,True,product,provide,nutrient,product,be high in,nutrient
5808,product be source of nutrient,product provide nutrient,True,product,be source of,nutrient,product,provide,nutrient
5809,product provide nutrient,product contain nutrient,True,product,provide,nutrient,product,contain,nutrient
5810,product be high in nutrient,product be source of nutrient,True,product,be high in,nutrient,product,be source of,nutrient
5811,nutrient can be find in product,product be fortify with nutrient,True,nutrient,can be find in,product,product,be fortify with,nutrient
5812,product be fortify with nutrient,product be high in nutrient,True,product,be fortify with,nutrient,product,be high in,nutrient
5813,product be source of nutrient,nutrient can be find in product,True,product,be source of,nutrient,nutrient,can be find in,product
5814,product contain nutrient,nutrient can be find in product,True,product,contain,nutrient,nutrient,can be find in,product
5815,product be fortify with nutrient,product contain nutrient,True,product,be fortify with,nutrient,product,contain,nutrient
5816,product be source of nutrient,product contain nutrient,True,product,be source of,nutrient,product,contain,nutrient
5817,nutrient be add to product,nutrient can be find in product,True,nutrient,be add to,product,nutrient,can be find in,product
5818,product contain nutrient,product provide nutrient,True,product,contain,nutrient,product,provide,nutrient
5819,product be fortify with nutrient,product provide nutrient,True,product,be fortify with,nutrient,product,provide,nutrient
5820,product be rich in nutrient,product provide nutrient,True,product,be rich in,nutrient,product,provide,nutrient
5821,product be high in nutrient,nutrient be find in product,True,product,be high in,nutrient,nutrient,be find in,product
5822,product provide nutrient,nutrient be find in product,True,product,provide,nutrient,nutrient,be find in,product
5823,product contain nutrient,nutrient be add to product,True,product,contain,nutrient,nutrient,be add to,product
5824,product contain nutrient,nutrient be find in product,True,product,contain,nutrient,nutrient,be find in,product
5825,nutrient be add to product,product provide nutrient,True,nutrient,be add to,product,product,provide,nutrient
5826,product be high in nutrient,product contain nutrient,True,product,be high in,nutrient,product,contain,nutrient
5827,product be rich in nutrient,product be fortify with nutrient,True,product,be rich in,nutrient,product,be fortify with,nutrient
5828,nutrient be find in product,product be source of nutrient,True,nutrient,be find in,product,product,be source of,nutrient
5829,product provide nutrient,product be source of nutrient,True,product,provide,nutrient,product,be source of,nutrient
5830,product contain nutrient,product be rich in nutrient,True,product,contain,nutrient,product,be rich in,nutrient
5831,product be rich in nutrient,product be high in nutrient,True,product,be rich in,nutrient,product,be high in,nutrient
5832,product contain nutrient,product be high in nutrient,True,product,contain,nutrient,product,be high in,nutrient
5833,product be fortify with nutrient,nutrient can be find in product,True,product,be fortify with,nutrient,nutrient,can be find in,product
5834,product be source of nutrient,nutrient be find in product,True,product,be source of,nutrient,nutrient,be find in,product
5835,product be high in nutrient,nutrient can be find in product,True,product,be high in,nutrient,nutrient,can be find in,product
5836,member return to town,member live in town,True,member,return to,town,member,live in,town
5837,member be locate in town,member be headquarter in town,True,member,be locate in,town,member,be headquarter in,town
5838,member be base in town,member be locate in town,True,member,be base in,town,member,be locate in,town
5839,member be locate in town,member be base in town,True,member,be locate in,town,member,be base in,town
5840,member move to town,member be bear in town,True,member,move to,town,member,be bear in,town
5841,member move to town,member live in town,True,member,move to,town,member,live in,town
5842,member be headquarter in town,member be locate in town,True,member,be headquarter in,town,member,be locate in,town
5843,member be base in town,member be headquarter in town,True,member,be base in,town,member,be headquarter in,town
5844,member return to town,member move to town,True,member,return to,town,member,move to,town
5845,member move to town,member return to town,True,member,move to,town,member,return to,town
5846,member be headquarter in town,member be base in town,True,member,be headquarter in,town,member,be base in,town
5847,member live in town,member be bear in town,True,member,live in,town,member,be bear in,town
5848,member return to town,member be bear in town,True,member,return to,town,member,be bear in,town
5849,member reside in town,member live in town,True,member,reside in,town,member,live in,town
5850,member be bear in town,member live in town,True,member,be bear in,town,member,live in,town
5851,member reside in town,member be bear in town,True,member,reside in,town,member,be bear in,town
5852,medication cause disorder,medication can cause disorder,True,medication,cause,disorder,medication,can cause,disorder
5853,medication treat disorder,medication cause disorder,True,medication,treat,disorder,medication,cause,disorder
5854,medication to treat disorder,medication can cause disorder,True,medication,to treat,disorder,medication,can cause,disorder
5855,medication be prescribe for disorder,medication be use for disorder,True,medication,be prescribe for,disorder,medication,be use for,disorder
5856,medication be use for disorder,medication treat disorder,True,medication,be use for,disorder,medication,treat,disorder
5857,medication to treat disorder,medication be prescribe for disorder,True,medication,to treat,disorder,medication,be prescribe for,disorder
5858,medication treat disorder,medication be prescribe for disorder,True,medication,treat,disorder,medication,be prescribe for,disorder
5859,medication can cause disorder,medication cause disorder,True,medication,can cause,disorder,medication,cause,disorder
5860,medication to treat disorder,medication cause disorder,True,medication,to treat,disorder,medication,cause,disorder
5861,medication to treat disorder,medication be use for disorder,True,medication,to treat,disorder,medication,be use for,disorder
5862,medication be use for disorder,medication cause disorder,True,medication,be use for,disorder,medication,cause,disorder
5863,medication treat disorder,medication be use for disorder,True,medication,treat,disorder,medication,be use for,disorder
5864,medication be use for disorder,medication be prescribe for disorder,True,medication,be use for,disorder,medication,be prescribe for,disorder
5865,medication be prescribe for disorder,medication to treat disorder,True,medication,be prescribe for,disorder,medication,to treat,disorder
5866,medication treat disorder,medication to treat disorder,True,medication,treat,disorder,medication,to treat,disorder
5867,medication be use for disorder,medication can cause disorder,True,medication,be use for,disorder,medication,can cause,disorder
5868,medication be prescribe for disorder,medication can cause disorder,True,medication,be prescribe for,disorder,medication,can cause,disorder
5869,medication may cause disorder,medication can cause disorder,True,medication,may cause,disorder,medication,can cause,disorder
5870,medication be prescribe for disorder,medication treat disorder,True,medication,be prescribe for,disorder,medication,treat,disorder
5871,medication to treat disorder,medication may cause disorder,True,medication,to treat,disorder,medication,may cause,disorder
5872,medication cause disorder,medication may cause disorder,True,medication,cause,disorder,medication,may cause,disorder
5873,medication treat disorder,medication can cause disorder,True,medication,treat,disorder,medication,can cause,disorder
5874,medication treat disorder,medication may cause disorder,True,medication,treat,disorder,medication,may cause,disorder
5875,medication can cause disorder,medication may cause disorder,True,medication,can cause,disorder,medication,may cause,disorder
5876,medication be prescribe for disorder,medication may cause disorder,True,medication,be prescribe for,disorder,medication,may cause,disorder
5877,medication may cause disorder,medication cause disorder,True,medication,may cause,disorder,medication,cause,disorder
5878,medication be prescribe for disorder,medication cause disorder,True,medication,be prescribe for,disorder,medication,cause,disorder
5879,medication be use for disorder,medication to treat disorder,True,medication,be use for,disorder,medication,to treat,disorder
5880,medication be use for disorder,medication may cause disorder,True,medication,be use for,disorder,medication,may cause,disorder
5881,medication to treat disorder,medication treat disorder,True,medication,to treat,disorder,medication,treat,disorder
5882,body be preside over by member,member preside over body,True,body,be preside over by,member,member,preside over,body
5883,member state body,member inform body,True,member,state,body,member,inform,body
5884,member inform body,member state body,True,member,inform,body,member,state,body
5885,member preside over body,body be preside over by member,True,member,preside over,body,body,be preside over by,member
5886,medication inhibit factor,medication reduce factor,True,medication,inhibit,factor,medication,reduce,factor
5887,medication may increase factor,medication reduce factor,True,medication,may increase,factor,medication,reduce,factor
5888,medication can cause factor,medication reduce factor,True,medication,can cause,factor,medication,reduce,factor
5889,medication may increase factor,medication may cause factor,True,medication,may increase,factor,medication,may cause,factor
5890,medication treat factor,medication reduce factor,True,medication,treat,factor,medication,reduce,factor
5891,medication can cause factor,medication may cause factor,True,medication,can cause,factor,medication,may cause,factor
5892,medication may cause factor,medication can cause factor,True,medication,may cause,factor,medication,can cause,factor
5893,medication may increase factor,medication can cause factor,True,medication,may increase,factor,medication,can cause,factor
5894,medication may cause factor,medication reduce factor,True,medication,may cause,factor,medication,reduce,factor
5895,organization celebrate event,organization be celebrate event,True,organization,celebrate,event,organization,be celebrate,event
5896,event  sponsor by organization,organization sponsor event,True,event, sponsor by,organization,organization,sponsor,event
5897,event be sponsor by organization,event  sponsor by organization,True,event,be sponsor by,organization,event, sponsor by,organization
5898,organization sponsor event,event be sponsor by organization,True,organization,sponsor,event,event,be sponsor by,organization
5899,event  sponsor by organization,event be sponsor by organization,True,event, sponsor by,organization,event,be sponsor by,organization
5900,organization will hold event,organization hold event,True,organization,will hold,event,organization,hold,event
5901,event be sponsor by organization,organization sponsor event,True,event,be sponsor by,organization,organization,sponsor,event
5902,organization sponsor event,event  sponsor by organization,True,organization,sponsor,event,event, sponsor by,organization
5903,organization hold event,organization will hold event,True,organization,hold,event,organization,will hold,event
5904,organization be celebrate event,organization celebrate event,True,organization,be celebrate,event,organization,celebrate,event
5905,city be the capital of destination,city be locate in destination,True,city,be the capital of,destination,city,be locate in,destination
5906,city be capital of destination,destination be locate in city,True,city,be capital of,destination,destination,be locate in,city
5907,city be capital of destination,city be the capital of destination,True,city,be capital of,destination,city,be the capital of,destination
5908,city be locate in destination,city be capital of destination,True,city,be locate in,destination,city,be capital of,destination
5909,destination be locate in city,city be locate in destination,True,destination,be locate in,city,city,be locate in,destination
5910,city be the capital of destination,destination be locate in city,True,city,be the capital of,destination,destination,be locate in,city
5911,city be capital of destination,city be locate in destination,True,city,be capital of,destination,city,be locate in,destination
5912,city be locate in destination,destination be locate in city,True,city,be locate in,destination,destination,be locate in,city
5913,city be the capital of destination,city be capital of destination,True,city,be the capital of,destination,city,be capital of,destination
5914,city be locate in destination,city be the capital of destination,True,city,be locate in,destination,city,be the capital of,destination
5915,destination be locate in city,city be capital of destination,True,destination,be locate in,city,city,be capital of,destination
5916,destination be locate in city,city be the capital of destination,True,destination,be locate in,city,city,be the capital of,destination
5917,source top with vegetable,source toss with vegetable,True,source,top with,vegetable,source,toss with,vegetable
5918,vegetable contain source,vegetable be rich in source,True,vegetable,contain,source,vegetable,be rich in,source
5919,vegetable be high in source,vegetable be rich in source,True,vegetable,be high in,source,vegetable,be rich in,source
5920,source toss with vegetable,source serve with vegetable,True,source,toss with,vegetable,source,serve with,vegetable
5921,vegetable be high in source,source be find in vegetable,True,vegetable,be high in,source,source,be find in,vegetable
5922,vegetable be high in source,vegetable be source of source,True,vegetable,be high in,source,vegetable,be source of,source
5923,source stuff with vegetable,source top with vegetable,True,source,stuff with,vegetable,source,top with,vegetable
5924,vegetable be source of source,vegetable contain source,True,vegetable,be source of,source,vegetable,contain,source
